CSV_ID,CSV_NAME,CSV_DATE,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI
224501,FORK PLATFORM 2.2.2 - 2501,06/11/2023,Yes,item 1,"multi 1,multi 2,multi 3"
224502,FORK PLATFORM 2.2.2 - 2502,2023-10-07,No,item 2,"multi 1,multi 3,multi 5"
224503,FORK PLATFORM 2.2.2 - 2503,2023-11-07,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
224504,FORK PLATFORM 2.2.2 - 2504,06/11/2023,Yes,item 4,"multi 1,multi 2,multi 3"
224505,FORK PLATFORM 2.2.2 - 2505,2023-10-07,No,item 5,"multi 1,multi 3,multi 5"
224506,FORK PLATFORM 2.2.2 - 2506,2023-11-07,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
224507,FORK PLATFORM 2.2.2 - 2507,06/11/2023,Yes,item 7,"multi 1,multi 2,multi 3"
224508,FORK PLATFORM 2.2.2 - 2508,2023-10-07,No,item 8,"multi 1,multi 3,multi 5"
224509,FORK PLATFORM 2.2.2 - 2509,2023-11-07,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
224510,FORK PLATFORM 2.2.2 - 2510,06/11/2023,Yes,item 10,"multi 1,multi 2,multi 3"
224511,FORK PLATFORM 2.2.2 - 2511,2023-10-07,No,item 1,"multi 1,multi 3,multi 5"
224512,FORK PLATFORM 2.2.2 - 2512,2023-11-07,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
224513,FORK PLATFORM 2.2.2 - 2513,06/11/2023,Yes,item 3,"multi 1,multi 2,multi 3"
224514,FORK PLATFORM 2.2.2 - 2514,2023-10-07,No,item 4,"multi 1,multi 3,multi 5"
224515,FORK PLATFORM 2.2.2 - 2515,2023-11-07,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
224516,FORK PLATFORM 2.2.2 - 2516,06/11/2023,Yes,item 6,"multi 1,multi 2,multi 3"
224517,FORK PLATFORM 2.2.2 - 2517,2023-10-07,No,item 7,"multi 1,multi 3,multi 5"
224518,FORK PLATFORM 2.2.2 - 2518,2023-11-07,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
224519,FORK PLATFORM 2.2.2 - 2519,06/11/2023,Yes,item 9,"multi 1,multi 2,multi 3"
224520,FORK PLATFORM 2.2.2 - 2520,2023-10-07,No,item 10,"multi 1,multi 3,multi 5"
224521,FORK PLATFORM 2.2.2 - 2521,06/11/2023,Yes,item 1,"multi 1,multi 2,multi 3"
224522,FORK PLATFORM 2.2.2 - 2522,2023-10-07,No,item 2,"multi 1,multi 3,multi 5"
224523,FORK PLATFORM 2.2.2 - 2523,2023-11-07,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
224524,FORK PLATFORM 2.2.2 - 2524,06/11/2023,Yes,item 4,"multi 1,multi 2,multi 3"
224525,FORK PLATFORM 2.2.2 - 2525,2023-10-07,No,item 5,"multi 1,multi 3,multi 5"
